model_id,method,ablation,task,eval_variant,steer_variant,rf_mode,steering_factor,topk,accuracy
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,10,0.01,0.22
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,10,0.03,0.7
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,10,0.05,0.24
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,10,0.07,0.06
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,10,0.09,0.02
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,10,0.1,0.0
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,10,0.5,0.0
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,10,1.0,0.0
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,8,0.01,0.2
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,8,0.03,0.7
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,8,0.05,0.24
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,8,0.07,0.38
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,8,0.09,0.14
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,8,0.1,0.12
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,8,0.5,0.0
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,8,1.0,0.0
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,6,0.01,0.18
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,6,0.03,0.62
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,6,0.05,0.48
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,6,0.07,0.5
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,6,0.09,0.28
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,6,0.1,0.3
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,6,0.5,0.0
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,6,1.0,0.0
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,5,0.01,0.18
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,5,0.03,0.54
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,5,0.05,0.48
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,5,0.07,0.56
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,5,0.09,0.34
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,5,0.1,0.3
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,5,0.5,0.02
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,5,1.0,0.02
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,4,0.01,0.18
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,4,0.03,0.36
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,4,0.05,0.44
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,4,0.07,0.56
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,4,0.09,0.5
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,4,0.1,0.36
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,4,0.5,0.04
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,4,1.0,0.14
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,2,0.01,0.14
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,2,0.03,0.18
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,2,0.05,0.24
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,2,0.07,0.3
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,2,0.09,0.4
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,2,0.1,0.34
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,2,0.5,0.66
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,2,1.0,0.0
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,1,0.01,0.1
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,1,0.03,0.14
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,1,0.05,0.16
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,1,0.07,0.2
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,1,0.09,0.18
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,1,0.1,0.2
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,1,0.5,0.34
gemma-3-12b-it,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,1,1.0,0.72
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,10,0.01,0.66
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,10,0.03,0.58
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,10,0.05,0.08
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,10,0.07,0.0
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,10,0.09,0.0
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,10,0.1,0.0
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,10,0.5,0.0
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,10,1.0,0.0
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,8,0.01,0.58
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,8,0.03,0.74
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,8,0.05,0.12
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,8,0.07,0.04
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,8,0.09,0.0
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,8,0.1,0.0
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,8,0.5,0.0
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,8,1.0,0.0
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,6,0.01,0.52
Qwen1.5-14B-Chat,atp,steer,from_paragraph-long_to_sentence,single,single,wo_rf,6,0.03,0.76
