model_id,method,ablation,task,eval_variant,steer_variant,rf_mode,steering_factor,topk,accuracy
Qwen1.5-14B-Chat,atp,steer,from_paragraphMCQA-long_to_sentenceMCQA-long,single,single,wo_rf,10,0.01,0.46
Qwen1.5-14B-Chat,atp,steer,from_paragraphMCQA-long_to_sentenceMCQA-long,single,single,wo_rf,10,0.03,0.18
Qwen1.5-14B-Chat,atp,steer,from_paragraphMCQA-long_to_sentenceMCQA-long,single,single,wo_rf,10,0.05,0.0
Qwen1.5-14B-Chat,atp,steer,from_paragraphMCQA-long_to_sentenceMCQA-long,single,single,wo_rf,10,0.07,0.02
Qwen1.5-14B-Chat,atp,steer,from_paragraphMCQA-long_to_sentenceMCQA-long,single,single,wo_rf,10,0.09,0.0
Qwen1.5-14B-Chat,atp,steer,from_paragraphMCQA-long_to_sentenceMCQA-long,single,single,wo_rf,10,0.1,0.0
Qwen1.5-14B-Chat,atp,steer,from_paragraphMCQA-long_to_sentenceMCQA-long,single,single,wo_rf,10,0.5,0.0
Qwen1.5-14B-Chat,atp,steer,from_paragraphMCQA-long_to_sentenceMCQA-long,single,single,wo_rf,10,1.0,0.0
Qwen1.5-14B-Chat,atp,steer,from_paragraphMCQA-long_to_sentenceMCQA-long,single,single,wo_rf,8,0.01,0.42
Qwen1.5-14B-Chat,atp,steer,from_paragraphMCQA-long_to_sentenceMCQA-long,single,single,wo_rf,8,0.03,0.4
Qwen1.5-14B-Chat,atp,steer,from_paragraphMCQA-long_to_sentenceMCQA-long,single,single,wo_rf,8,0.05,0.02
Qwen1.5-14B-Chat,atp,steer,from_paragraphMCQA-long_to_sentenceMCQA-long,single,single,wo_rf,8,0.07,0.0
Qwen1.5-14B-Chat,atp,steer,from_paragraphMCQA-long_to_sentenceMCQA-long,single,single,wo_rf,8,0.09,0.0
Qwen1.5-14B-Chat,atp,steer,from_paragraphMCQA-long_to_sentenceMCQA-long,single,single,wo_rf,8,0.1,0.0
Qwen1.5-14B-Chat,atp,steer,from_paragraphMCQA-long_to_sentenceMCQA-long,single,single,wo_rf,8,0.5,0.0
Qwen1.5-14B-Chat,atp,steer,from_paragraphMCQA-long_to_sentenceMCQA-long,single,single,wo_rf,8,1.0,0.0
Qwen1.5-14B-Chat,atp,steer,from_paragraphMCQA-long_to_sentenceMCQA-long,single,single,wo_rf,6,0.01,0.38
Qwen1.5-14B-Chat,atp,steer,from_paragraphMCQA-long_to_sentenceMCQA-long,single,single,wo_rf,6,0.03,0.6
Qwen1.5-14B-Chat,atp,steer,from_paragraphMCQA-long_to_sentenceMCQA-long,single,single,wo_rf,6,0.05,0.28
Qwen1.5-14B-Chat,atp,steer,from_paragraphMCQA-long_to_sentenceMCQA-long,single,single,wo_rf,6,0.07,0.0
Qwen1.5-14B-Chat,atp,steer,from_paragraphMCQA-long_to_sentenceMCQA-long,single,single,wo_rf,6,0.09,0.0
Qwen1.5-14B-Chat,atp,steer,from_paragraphMCQA-long_to_sentenceMCQA-long,single,single,wo_rf,6,0.1,0.0
Qwen1.5-14B-Chat,atp,steer,from_paragraphMCQA-long_to_sentenceMCQA-long,single,single,wo_rf,6,0.5,0.0
Qwen1.5-14B-Chat,atp,steer,from_paragraphMCQA-long_to_sentenceMCQA-long,single,single,wo_rf,6,1.0,0.0
Qwen1.5-14B-Chat,atp,steer,from_paragraphMCQA-long_to_sentenceMCQA-long,single,single,wo_rf,5,0.01,0.36
