model_id,task,method,ablation,eval_variant,steer_variant,rf_mode,topk,max_accuracy,best_steering_factor
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.01,0.66,10.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.03,0.76,6.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.05,0.68,4.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.07,0.52,2.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.09,0.68,2.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.1,0.82,2.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.5,0.0,10.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,1.0,0.64,6.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.01,0.34,8.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.03,0.5,4.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.05,0.42,5.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.07,0.34,1.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.09,0.42,1.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.1,0.32,1.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,0.5,0.4,2.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,single,single,wo_rf,1.0,0.22,1.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,single,long,wo_rf,0.01,0.32,10.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,single,long,wo_rf,0.03,0.82,10.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,single,long,wo_rf,0.05,0.56,5.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,single,long,wo_rf,0.07,0.56,2.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,single,long,wo_rf,0.09,0.52,1.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,single,long,wo_rf,0.1,0.5,2.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,single,long,wo_rf,0.5,0.0,10.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,single,long,wo_rf,1.0,0.0,10.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,single,long,wo_rf,0.01,0.38,4.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,single,long,wo_rf,0.03,0.56,6.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,single,long,wo_rf,0.05,0.56,2.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,single,long,wo_rf,0.07,0.66,2.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,single,long,wo_rf,0.09,0.54,2.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,single,long,wo_rf,0.1,0.54,1.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,single,long,wo_rf,0.5,0.6,1.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,single,long,wo_rf,1.0,0.38,1.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,long,single,w_rf,0.01,0.02,5.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,long,single,w_rf,0.03,0.04,5.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,long,single,w_rf,0.05,0.04,10.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,long,single,w_rf,0.07,0.04,6.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,long,single,w_rf,0.09,0.08,2.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,long,single,w_rf,0.1,0.06,2.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,long,single,w_rf,0.5,0.0,10.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,long,single,w_rf,1.0,0.0,10.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,long,single,w_rf,0.01,0.02,6.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,long,single,w_rf,0.03,0.0,10.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,long,single,w_rf,0.05,0.02,4.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,long,single,w_rf,0.07,0.04,2.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,long,single,w_rf,0.09,0.1,10.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,long,single,w_rf,0.1,0.18,10.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,long,single,w_rf,0.5,0.16,6.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,long,single,w_rf,1.0,0.08,5.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,long,single,wo_rf,0.01,0.02,5.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,long,single,wo_rf,0.03,0.04,5.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,long,single,wo_rf,0.05,0.04,10.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,long,single,wo_rf,0.07,0.04,6.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,long,single,wo_rf,0.09,0.78,4.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,long,single,wo_rf,0.1,0.86,4.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,long,single,wo_rf,0.5,0.08,2.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,long,single,wo_rf,1.0,0.22,4.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,long,single,wo_rf,0.01,0.02,6.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,long,single,wo_rf,0.03,0.0,10.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,long,single,wo_rf,0.05,0.02,4.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,long,single,wo_rf,0.07,0.04,2.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,long,single,wo_rf,0.09,0.12,10.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,long,single,wo_rf,0.1,0.26,10.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,long,single,wo_rf,0.5,0.7,10.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,long,single,wo_rf,1.0,0.8,8.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,long,long,w_rf,0.01,0.06,10.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,long,long,w_rf,0.03,0.42,10.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,long,long,w_rf,0.05,0.76,10.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,long,long,w_rf,0.07,0.32,4.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,long,long,w_rf,0.09,0.18,2.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,long,long,w_rf,0.1,0.12,2.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,long,long,w_rf,0.5,0.0,10.0
Qwen1.5-14B-Chat,from_paragraph-long_to_sentence,atp,steer,long,long,w_rf,1.0,0.0,10.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,long,long,w_rf,0.01,0.04,10.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,long,long,w_rf,0.03,0.04,8.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,long,long,w_rf,0.05,0.06,10.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,long,long,w_rf,0.07,0.1,10.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,long,long,w_rf,0.09,0.08,10.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,long,long,w_rf,0.1,0.06,10.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,long,long,w_rf,0.5,0.54,5.0
OLMo-2-1124-13B-DPO,from_paragraph-long_to_sentence,atp,steer,long,long,w_rf,1.0,0.66,4.0
